Ref,Qty,Target_Value,Target_Footprint,Target_Voltage,Target_CapType,Search_Query,Existing_MPN,Existing_Mouser_PN,Suggested_MPN,Suggested_Mouser_PN,Notes
C1203,1,100nF,0402,,,Capacitor MLCC 100nF 50V 0402,,,0402X7R104KT2AT,581-0402X7R104KT2AT,"Stock: 27967 In Stock, Price: $0.38, WARNING: Footprint mismatch? (Expected 0402)"
C1204,1,100nF,0402,,,Capacitor MLCC 100nF 50V 0402,,,0402X7R104KT2AT,581-0402X7R104KT2AT,"Stock: 27967 In Stock, Price: $0.38, WARNING: Footprint mismatch? (Expected 0402)"
C1301,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1302,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1303,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1304,1,100nF,0603,50V,X7R,,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,C0805F104K1RACAUTO,80-C0805F104K1RAUTO,"Stock: 21336 In Stock, Price: $0.22, WARNING: Footprint mismatch? (Expected 0603); Voltage mismatch? (Expected 50V)"
C1305,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1306,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1307,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1308,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1309,1,10uF,0603,25V,X7R,,81-GXT155R71E223KE1D,963-MLAST168BB5106MT,MLAST168BB5106MTNA01,963-MLAST168BB5106MT,"Stock: N/A, Price: $0.39, WARNING: Dielectric mismatch? (Expected X7R)"
C1310,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
C1311,1,1uF,0402,25V,X5R,,GRM155R61E105KE11D,81-GRM155R61E105KE1D,GRM155R61E105KE11D,81-GRM155R61E105KE1D,"Stock: 59665 In Stock, Price: $0.11, WARNING: Voltage mismatch? (Expected 25V)"
